"","team_name","color","player_tag","core_goals","core_assists","core_saves","core_shots","core_score","demo_inflicted","demo_taken","advanced_rating"
"1","GROUND ZERO GAMING","blue","Amphis",3,0,4,9,1119,2,2,0.86358972437059
"2","GROUND ZERO GAMING","blue","Torsos",2,5,2,13,1209,2,0,1.35050027017908
"3","GROUND ZERO GAMING","blue","Express",4,2,2,12,1077,2,5,1.23297014972143
"4","RANGA ROUNDUP","orange","Laxin",1,1,8,5,1086,1,2,0.806691750351558
"5","RANGA ROUNDUP","orange","Baked Potato",3,0,4,4,948,3,3,1.07798285595665
"6","RANGA ROUNDUP","orange","mel kin",1,2,9,6,1105,3,1,0.987119071106835
"7","RENEGADES","blue","Fever",5,9,6,13,1971,5,1,2.24858173236106
"8","RENEGADES","blue","Kamii",4,6,3,14,1381,3,1,1.61997908805961
"9","RENEGADES","blue","CJCJ",12,6,1,19,2319,3,5,2.64821074250106
"10","TRIDENT ESPORTS","orange","Viic",1,2,4,7,956,4,4,0.803442483256046
"11","TRIDENT ESPORTS","orange","RoToR",1,1,6,3,850,1,1,0.648888398836343
"12","TRIDENT ESPORTS","orange","Smash",2,0,6,6,860,2,6,0.814339097365361
"13","DIRE WOLVES","blue","Walcott",3,4,2,14,1387,5,3,1.01989104824221
"14","DIRE WOLVES","blue","Fiberr",6,3,3,15,1773,3,1,1.31591481081654
"15","DIRE WOLVES","blue","misty",3,2,8,17,1484,5,4,1.02218838362248
"16","TEAM EROS","orange","RemiK",2,1,15,8,1984,2,3,1.14165856819073
"17","TEAM EROS","orange","Sour",2,3,4,10,1463,2,6,0.975947233166171
"18","TEAM EROS","orange","Gus",2,0,4,6,1110,4,4,0.590065382616665
"19","WILDCARD GAMING","blue","Decka",4,4,2,12,1252,4,4,1.37057789866523
"20","WILDCARD GAMING","blue","cavemanben",8,3,3,16,1910,2,4,1.88794757485261
"21","WILDCARD GAMING","blue","Siki",7,7,5,18,2226,2,3,2.55746380103253
"22","BIG GOOSE","orange","Scout",4,0,7,6,1252,5,1,1.2251012716882
"23","BIG GOOSE","orange","Tobee",1,3,8,7,1373,4,1,1.11751012715511
"24","BIG GOOSE","orange","Shmoopernator",1,2,6,5,914,2,6,0.836029096930336
"25","FORKIDDEN","blue","Superlachie",2,3,10,13,1592,3,3,1.43137885577433
"26","FORKIDDEN","blue","Scrub",4,0,6,8,1196,3,2,1.37694230050619
"27","FORKIDDEN","blue","Bananahead",1,3,2,9,832,6,2,0.807507407119203
"28","RANCID RATS REBORN","orange","delusioN",0,0,8,9,914,1,3,0.514539140226854
"29","RANCID RATS REBORN","orange","Lerky",0,0,4,6,737,2,5,0.319614439906712
"30","RANCID RATS REBORN","orange","SSteve",0,0,4,6,713,4,4,0.316524295705558
"31","VORT CENTRAL","blue","vortexioz",3,0,10,11,1676,3,6,0.978589770152517
"32","VORT CENTRAL","blue","Cobbo",1,2,7,5,1308,1,3,0.711923389891434
"33","VORT CENTRAL","blue","Snowy",1,2,2,5,875,3,5,0.631349608405026
"34","BANDITS ESC","orange","Hawk",3,3,7,16,1781,5,3,1.20901853937561
"35","BANDITS ESC","orange","Spratt",4,1,4,7,1300,6,3,1.02883940961686
"36","BANDITS ESC","orange","zayd",3,4,2,9,1379,3,1,1.01151015001904
"37","DIRE WOLVES","blue","Fiberr",4,0,5,10,1228,3,3,1.03647598882618
"38","DIRE WOLVES","blue","misty",2,0,4,6,837,3,3,0.699101818922666
"39","DIRE WOLVES","blue","Walcott",0,4,3,8,864,3,0,0.803647436239595
"40","WILDCARD GAMING","orange","Siki",5,2,6,7,1398,2,5,1.6521321733125
"41","WILDCARD GAMING","orange","Decka",0,5,7,7,1048,3,1,1.02672906578237
"42","WILDCARD GAMING","orange","cavemanben",6,1,3,11,1311,1,3,1.353999230402
"43","R!OT GAMING","blue","Tango",1,1,8,9,1176,8,3,0.888394957629861
"44","R!OT GAMING","blue","kaka",2,4,2,7,1044,1,0,1.11705827482878
"45","R!OT GAMING","blue","finn",5,1,4,12,1344,3,5,1.36701181601586
"46","FORKIDDEN","orange","Bananahead",2,1,6,10,1023,2,4,0.929206685818792
"47","FORKIDDEN","orange","Superlachie",1,2,7,6,1092,4,3,1.00533714692488
"48","FORKIDDEN","orange","Scrub",1,1,2,7,751,2,5,0.600473213093613
"49","RENEGADES","blue","Fever",2,5,7,10,1757,6,3,1.23212072725468
"50","RENEGADES","blue","Kamii",3,2,7,18,1715,6,3,1.00609471814198
"51","RENEGADES","blue","CJCJ",6,1,5,18,1958,6,7,1.24978043971407
"52","BANDITS ESC","orange","zayd",2,1,10,10,1638,3,7,0.87717734904455
"53","BANDITS ESC","orange","Spratt",3,2,4,8,1318,4,6,0.959584782548246
"54","BANDITS ESC","orange","Hawk",2,4,14,10,2284,6,5,1.27356648572201
